Date,Seller_Name,Product_Type,Quantity,Price_Per_Unit,Total_Amount,Daily_Total,Daily_Items_Sold
2023-01-01,Coronation_bakery,BISCUIT,4,63,250,8434,252
2023-01-01,Coronation_bakery,BROWNIE,3,65,195,8434,252
2023-01-01,Coronation_bakery,BUN,7,19,133,8434,252
2023-01-01,Coronation_bakery,CAKE,50,70,3453,8434,252
2023-01-01,Tea_Bench,ICE TEA,7,26,180,8434,252
2023-01-01,Shanmuga_Nadar,KAARAM,19,54,1020,8434,252
2023-01-01,Coronation_bakery,MACAROON,4,130,520,8434,252
2023-01-01,Nomadic_Bites,PUFFS,53,15,795,8434,252
2023-01-01,Coronation_bakery,RUSK & BREAD,4,59,234,8434,252
2023-01-01,Tea_Bench,TEA AND COFFEE,101,17,1654,8434,252
2023-01-02,Coronation_bakery,BISCUIT,11,62,680,14282,554
2023-01-02,Coronation_bakery,BROWNIE,5,55,271,14282,554
2023-01-02,Coronation_bakery,BUN,29,20,559,14282,554
2023-01-02,Coronation_bakery,CAKE,85,32,2649,14282,554
2023-01-02,Coronation_bakery,FRESH CREAM CAKE,7,40,280,14282,554
2023-01-02,Tea_Bench,ICE TEA,6,24,140,14282,554
2023-01-02,Shanmuga_Nadar,KAARAM,8,54,430,14282,554
2023-01-02,Coronation_bakery,MACAROON,8,82,650,14282,554
2023-01-02,Tea_Bench,MILKSHAKE,3,100,300,14282,554
2023-01-02,Nomadic_Bites,PUFFS,91,16,1419,14282,554
2023-01-02,Coronation_bakery,RUSK & BREAD,26,80,2078,14282,554
2023-01-02,Coronation_bakery,SWEETS,10,30,300,14282,554
2023-01-02,Tea_Bench,TEA AND COFFEE,265,18,4526,14282,554
2023-01-03,Coronation_bakery,BISCUIT,5,80,400,16511,667
2023-01-03,Coronation_bakery,BROWNIE,21,49,1014,16511,667
2023-01-03,Coronation_bakery,BUN,51,19,957,16511,667
2023-01-03,Coronation_bakery,CAKE,169,28,4686,16511,667
2023-01-03,Coronation_bakery,FRESH CREAM CAKE,16,43,687,16511,667
2023-01-03,Tea_Bench,ICE TEA,7,20,140,16511,667
2023-01-03,Shanmuga_Nadar,KAARAM,24,49,1155,16511,667
2023-01-03,Coronation_bakery,MACAROON,4,98,390,16511,667
2023-01-03,Nomadic_Bites,PUFFS,106,16,1629,16511,667
2023-01-03,Coronation_bakery,RUSK & BREAD,18,66,1183,16511,667
2023-01-03,Coronation_bakery,SWEETS,4,27,105,16511,667
2023-01-03,Tea_Bench,TEA AND COFFEE,242,18,4165,16511,667
2023-01-04,Coronation_bakery,BISCUIT,6,52,310,14924,577
2023-01-04,Coronation_bakery,BROWNIE,19,48,911,14924,577
2023-01-04,Coronation_bakery,BUN,48,19,869,14924,577
2023-01-04,Coronation_bakery,CAKE,58,58,3347,14924,577
2023-01-04,Coronation_bakery,FRESH CREAM CAKE,9,42,376,14924,577
2023-01-04,Tea_Bench,ICE TEA,10,22,220,14924,577
2023-01-04,Shanmuga_Nadar,KAARAM,20,39,780,14924,577
2023-01-04,Coronation_bakery,MACAROON,6,65,390,14924,577
2023-01-04,Tea_Bench,MILKSHAKE,2,100,200,14924,577
2023-01-04,Nomadic_Bites,PUFFS,105,16,1626,14924,577
2023-01-04,Coronation_bakery,RUSK & BREAD,10,98,976,14924,577
2023-01-04,Coronation_bakery,SWEETS,23,21,465,14924,577
2023-01-04,Tea_Bench,TEA AND COFFEE,261,18,4454,14924,577
2023-01-05,Coronation_bakery,BISCUIT,5,73,365,14989,561
2023-01-05,Coronation_bakery,BROWNIE,16,59,932,14989,561
