Date,Seller_Name,Product_Type,Quantity,Price_Per_Unit,Total_Amount,Daily_Total,Daily_Items_Sold
01-01-2023,Coronation_bakery,BISCUIT,4,63,250,8434,252
01-01-2023,Coronation_bakery,BROWNIE,3,65,195,,
01-01-2023,Coronation_bakery,BUN,7,19,133,,
01-01-2023,Coronation_bakery,CAKE,50,70,3453,,
01-01-2023,Tea_Bench,ICE TEA,7,26,180,,
01-01-2023,Shanmuga_Nadar,KAARAM,19,54,1020,,
01-01-2023,Coronation_bakery,MACAROON,4,130,520,,
01-01-2023,Nomadic_Bites,PUFFS,53,15,795,,
01-01-2023,Coronation_bakery,RUSK & BREAD,4,59,234,,
01-01-2023,Tea_Bench,TEA AND COFFEE,101,17,1654,,
02-01-2023,Coronation_bakery,BISCUIT,11,62,680,14282,554
02-01-2023,Coronation_bakery,BROWNIE,5,55,271,,
02-01-2023,Coronation_bakery,BUN,29,20,559,,
02-01-2023,Coronation_bakery,CAKE,85,32,2649,,
02-01-2023,Coronation_bakery,FRESH CREAM CAKE,7,40,280,,
02-01-2023,Tea_Bench,ICE TEA,6,24,140,,
02-01-2023,Shanmuga_Nadar,KAARAM,8,54,430,,
02-01-2023,Coronation_bakery,MACAROON,8,82,650,,
02-01-2023,Tea_Bench,MILKSHAKE,3,100,300,,
02-01-2023,Nomadic_Bites,PUFFS,91,16,1419,,
02-01-2023,Coronation_bakery,RUSK & BREAD,26,80,2078,,
02-01-2023,Coronation_bakery,SWEETS,10,30,300,,
02-01-2023,Tea_Bench,TEA AND COFFEE,265,18,4526,,
03-01-2023,Coronation_bakery,BISCUIT,5,80,400,16511,667
03-01-2023,Coronation_bakery,BROWNIE,21,49,1014,,
03-01-2023,Coronation_bakery,BUN,51,19,957,,
03-01-2023,Coronation_bakery,CAKE,169,28,4686,,
03-01-2023,Coronation_bakery,FRESH CREAM CAKE,16,43,687,,
03-01-2023,Tea_Bench,ICE TEA,7,20,140,,
03-01-2023,Shanmuga_Nadar,KAARAM,24,49,1155,,
03-01-2023,Coronation_bakery,MACAROON,4,98,390,,
03-01-2023,Nomadic_Bites,PUFFS,106,16,1629,,
03-01-2023,Coronation_bakery,RUSK & BREAD,18,66,1183,,
03-01-2023,Coronation_bakery,SWEETS,4,27,105,,
03-01-2023,Tea_Bench,TEA AND COFFEE,242,18,4165,,
04-01-2023,Coronation_bakery,BISCUIT,6,52,310,14924,577
04-01-2023,Coronation_bakery,BROWNIE,19,48,911,,
04-01-2023,Coronation_bakery,BUN,48,19,869,,
04-01-2023,Coronation_bakery,CAKE,58,58,3347,,
04-01-2023,Coronation_bakery,FRESH CREAM CAKE,9,42,376,,
04-01-2023,Tea_Bench,ICE TEA,10,22,220,,
04-01-2023,Shanmuga_Nadar,KAARAM,20,39,780,,
04-01-2023,Coronation_bakery,MACAROON,6,65,390,,
04-01-2023,Tea_Bench,MILKSHAKE,2,100,200,,
04-01-2023,Nomadic_Bites,PUFFS,105,16,1626,,
04-01-2023,Coronation_bakery,RUSK & BREAD,10,98,976,,
04-01-2023,Coronation_bakery,SWEETS,23,21,465,,
04-01-2023,Tea_Bench,TEA AND COFFEE,261,18,4454,,
05-01-2023,Coronation_bakery,BISCUIT,5,73,365,14989,561
05-01-2023,Coronation_bakery,BROWNIE,16,59,932,,
05-01-2023,Coronation_bakery,BUN,37,20,733,,
05-01-2023,Coronation_bakery,CAKE,130,36,4601,,
05-01-2023,Coronation_bakery,FRESH CREAM CAKE,3,40,120,,
05-01-2023,Tea_Bench,ICE TEA,5,20,100,,
05-01-2023,Shanmuga_Nadar,KAARAM,30,49,1460,,
05-01-2023,Coronation_bakery,MACAROON,2,130,260,,
05-01-2023,Nomadic_Bites,PUFFS,100,16,1557,,
05-01-2023,Coronation_bakery,RUSK & BREAD,14,70,970,,
05-01-2023,Coronation_bakery,SWEETS,12,19,225,,
05-01-2023,Tea_Bench,TEA AND COFFEE,207,18,3666,,
06-01-2023,Coronation_bakery,BISCUIT,8,84,670,17337,678
06-01-2023,Coronation_bakery,BROWNIE,12,52,618,,
06-01-2023,Coronation_bakery,BUN,62,19,1170,,
06-01-2023,Coronation_bakery,CAKE,151,35,5201,,
06-01-2023,Coronation_bakery,FRESH CREAM CAKE,3,41,122,,
06-01-2023,Tea_Bench,ICE TEA,15,20,300,,
06-01-2023,Shanmuga_Nadar,KAARAM,27,49,1305,,
06-01-2023,Coronation_bakery,MACAROON,2,98,195,,
06-01-2023,Nomadic_Bites,PUFFS,97,16,1512,,
06-01-2023,Coronation_bakery,RUSK & BREAD,22,67,1466,,
06-01-2023,Coronation_bakery,SWEETS,16,15,240,,
